MQ135,MQ7,Temperature,Humidity,Risk
450,346,20.7,80.8,High Risk
691,320,31.2,48.5,High Risk
309,140,32.0,44.1,Safe
793,338,29.7,32.9,Asthma Risk
664,404,13.8,40.0,Moderate Risk
674,332,27.2,43.4,Moderate Risk
250,198,21.3,46.6,Moderate Risk
770,614,17.7,62.2,CO Poisoning Risk
178,467,29.7,34.2,CO Poisoning Risk
777,94,19.4,31.2,High Risk
870,251,34.9,78.3,High Risk
674,608,20.2,71.2,CO Poisoning Risk
846,609,26.3,43.0,CO Poisoning Risk
678,257,32.9,62.5,High Risk
248,110,22.7,60.0,Safe
578,276,32.9,68.1,High Risk
413,364,30.4,74.4,Moderate Risk
699,181,35.1,47.3,High Risk
470,610,20.8,63.7,CO Poisoning Risk
191,109,15.5,71.3,Safe
583,558,23.3,65.8,CO Poisoning Risk
733,176,31.9,77.8,High Risk
703,378,23.8,54.7,Moderate Risk
108,76,19.3,71.3,Safe
543,542,13.7,77.1,CO Poisoning Risk
571,287,20.5,58.1,Moderate Risk
683,236,30.1,28.9,Asthma Risk
486,186,16.5,72.2,Moderate Risk
368,645,21.2,73.7,CO Poisoning Risk
454,605,13.5,49.6,CO Poisoning Risk
420,235,30.3,40.4,Moderate Risk
730,193,34.1,80.8,High Risk
433,643,26.6,57.8,CO Poisoning Risk
911,460,13.6,55.9,CO Poisoning Risk
544,564,18.2,79.1,CO Poisoning Risk
690,60,23.5,50.0,Moderate Risk
814,150,27.1,73.8,Moderate Risk
744,327,24.9,65.8,Moderate Risk
154,148,35.0,80.3,Safe
165,405,35.5,51.1,High Risk
800,79,15.6,77.0,High Risk
232,157,16.3,58.7,Safe
917,352,21.6,53.7,Moderate Risk
694,97,23.1,44.5,Moderate Risk
562,125,27.1,57.8,Moderate Risk
506,413,31.6,58.9,High Risk
394,286,16.3,76.5,Moderate Risk
825,75,32.3,66.0,High Risk
586,405,27.6,72.6,Moderate Risk
380,277,36.5,69.5,Moderate Risk
191,78,28.6,42.9,Safe
356,287,30.2,39.1,Moderate Risk
711,103,17.7,42.0,Moderate Risk
866,573,31.5,35.9,CO Poisoning Risk
92,122,14.9,48.8,Safe
174,346,28.8,63.3,Moderate Risk
883,156,14.3,57.0,Moderate Risk
417,457,15.8,64.7,CO Poisoning Risk
905,361,15.6,47.2,Moderate Risk
539,189,14.3,39.1,Moderate Risk
543,62,20.7,38.9,Moderate Risk
718,395,36.9,60.4,High Risk
310,199,21.4,36.9,Moderate Risk
243,550,31.3,49.4,CO Poisoning Risk
754,404,16.2,39.5,Moderate Risk
101,376,23.9,63.8,Moderate Risk
222,572,17.4,61.2,CO Poisoning Risk
393,56,17.6,48.6,Moderate Risk
382,119,15.4,35.0,Moderate Risk
389,256,23.4,39.4,Moderate Risk
829,327,14.8,53.5,Moderate Risk
872,239,34.8,80.5,High Risk
132,74,23.7,42.6,Safe
432,53,33.1,38.3,Moderate Risk
415,353,36.5,39.9,High Risk
903,489,29.3,66.2,CO Poisoning Risk
587,354,34.6,77.4,High Risk
453,470,16.2,32.1,CO Poisoning Risk
516,635,32.9,68.5,CO Poisoning Risk
110,135,19.5,54.7,Safe
496,500,24.3,72.6,CO Poisoning Risk
708,488,28.5,50.8,CO Poisoning Risk
425,123,34.7,28.3,Moderate Risk
904,519,34.9,64.9,CO Poisoning Risk
206,147,15.2,71.6,Safe
213,500,21.7,76.7,CO Poisoning Risk
488,358,32.0,58.7,High Risk
882,291,29.9,34.6,Asthma Risk
893,278,13.6,48.0,Moderate Risk
804,638,23.8,70.3,CO Poisoning Risk
140,279,32.9,54.7,Moderate Risk
872,431,30.7,65.8,Moderate Risk
413,82,22.9,28.3,Moderate Risk
878,205,30.6,31.9,Asthma Risk
230,506,26.2,64.8,CO Poisoning Risk
559,493,34.9,43.7,CO Poisoning Risk
876,161,27.1,49.0,Moderate Risk
891,285,22.6,62.7,Moderate Risk
423,70,33.7,34.0,Moderate Risk
462,606,14.2,73.0,CO Poisoning Risk
653,342,34.6,35.8,Asthma Risk
583,198,29.7,67.6,Moderate Risk
628,512,35.6,43.8,CO Poisoning Risk
758,93,19.0,42.0,Moderate Risk
840,90,29.7,72.3,Moderate Risk
245,329,32.4,57.8,High Risk
380,126,29.9,39.1,Moderate Risk
737,88,18.0,28.1,High Risk
233,317,19.6,80.5,High Risk
195,438,26.6,51.3,Moderate Risk
509,639,23.7,49.5,CO Poisoning Risk
759,102,30.6,30.7,Asthma Risk
747,609,22.1,76.3,CO Poisoning Risk
91,45,33.6,35.6,Safe
678,260,23.4,46.1,Moderate Risk
733,361,14.0,50.7,Moderate Risk
179,272,13.4,71.7,Moderate Risk
434,517,28.5,47.4,CO Poisoning Risk
439,528,26.0,56.7,CO Poisoning Risk
548,331,26.0,51.2,Moderate Risk
352,555,32.0,44.8,CO Poisoning Risk
440,622,22.0,79.1,CO Poisoning Risk
197,502,36.9,71.0,CO Poisoning Risk
675,139,35.7,37.4,Asthma Risk
128,537,13.3,58.0,CO Poisoning Risk
248,194,34.5,71.0,Moderate Risk
672,67,29.3,59.3,Moderate Risk
401,259,25.1,54.7,Moderate Risk
330,443,27.0,31.9,High Risk
534,454,33.2,33.7,CO Poisoning Risk
387,175,35.8,41.2,Moderate Risk
125,192,26.4,55.7,Moderate Risk
173,425,17.4,81.3,High Risk
541,153,28.4,71.3,Moderate Risk
864,596,14.8,33.9,CO Poisoning Risk
911,165,28.2,66.7,Moderate Risk
474,339,32.4,71.8,High Risk
261,164,21.5,50.4,Safe
465,500,14.7,45.8,CO Poisoning Risk
774,574,29.6,59.6,CO Poisoning Risk
451,213,21.1,56.0,Moderate Risk
648,187,19.0,42.3,Moderate Risk
230,81,29.5,49.5,Safe
207,305,36.3,57.4,High Risk
366,275,30.9,59.3,Moderate Risk
815,298,24.8,56.7,Moderate Risk
309,373,27.4,73.7,Moderate Risk
115,341,16.4,29.7,High Risk
610,54,32.5,46.0,High Risk
872,490,27.5,68.5,CO Poisoning Risk
99,274,36.2,63.2,Moderate Risk
467,580,36.5,77.6,CO Poisoning Risk
722,122,21.5,59.8,Moderate Risk
726,469,36.7,62.5,CO Poisoning Risk
771,237,36.0,66.1,High Risk
673,445,28.4,38.1,Moderate Risk
241,153,21.0,68.7,Safe
809,307,31.1,44.2,Asthma Risk
138,373,19.5,50.9,Moderate Risk
243,407,28.1,28.8,High Risk
382,422,13.6,73.6,Moderate Risk
669,385,28.1,79.5,High Risk
139,303,35.8,31.3,High Risk
753,379,18.6,62.3,Moderate Risk
620,129,31.7,79.9,High Risk
701,566,20.0,60.8,CO Poisoning Risk
149,615,30.0,71.1,CO Poisoning Risk
256,352,29.8,34.4,High Risk
291,306,17.4,41.2,Moderate Risk
235,496,27.3,46.7,CO Poisoning Risk
765,295,33.6,81.0,High Risk
528,368,22.2,70.2,Moderate Risk
331,273,30.0,75.8,Moderate Risk
670,640,29.2,54.3,CO Poisoning Risk
776,341,19.2,66.7,Moderate Risk
650,281,35.0,67.5,High Risk
572,261,26.5,58.7,Moderate Risk
197,290,21.5,75.4,Moderate Risk
315,492,16.9,36.5,CO Poisoning Risk
762,363,24.4,31.1,High Risk
720,476,30.5,44.4,CO Poisoning Risk
750,448,28.0,32.8,High Risk
751,81,30.4,31.3,Asthma Risk
521,620,32.0,50.6,CO Poisoning Risk
894,386,23.6,38.8,Moderate Risk
744,433,25.5,70.7,Moderate Risk
508,78,36.7,59.3,Moderate Risk
544,83,36.2,47.5,High Risk
249,623,23.0,43.5,CO Poisoning Risk
612,253,29.4,58.4,Moderate Risk
739,196,19.4,51.4,Moderate Risk
679,409,16.7,31.0,High Risk
166,243,31.4,63.9,Moderate Risk
598,645,23.5,55.0,CO Poisoning Risk
530,123,17.2,43.0,Moderate Risk
343,521,31.2,43.7,CO Poisoning Risk
859,478,35.0,52.5,CO Poisoning Risk
409,76,35.4,72.7,Moderate Risk
892,131,27.3,50.8,Moderate Risk
352,595,24.5,73.3,CO Poisoning Risk
686,437,16.4,50.9,Moderate Risk
747,288,32.0,72.8,High Risk
643,276,35.7,78.3,High Risk
463,624,34.3,29.1,CO Poisoning Risk
726,236,31.0,31.4,Asthma Risk
256,584,13.1,35.2,CO Poisoning Risk
842,314,22.8,34.6,High Risk
548,121,22.9,52.5,Moderate Risk
369,211,34.5,69.3,Moderate Risk
789,328,14.6,79.9,High Risk
391,133,25.7,50.6,Moderate Risk
620,588,16.3,65.2,CO Poisoning Risk
669,200,28.9,62.3,Moderate Risk
307,294,32.0,49.2,Moderate Risk
191,139,28.4,66.9,Safe
643,61,32.1,60.0,High Risk
377,161,27.6,69.0,Moderate Risk
256,377,17.6,38.5,Moderate Risk
710,566,22.2,47.5,CO Poisoning Risk
125,124,36.0,64.2,Safe
833,476,19.9,34.7,CO Poisoning Risk
830,247,14.5,69.6,Moderate Risk
442,160,22.2,35.2,Moderate Risk
765,264,21.8,45.5,Moderate Risk
162,297,24.3,40.8,Moderate Risk
737,213,26.4,31.3,High Risk
442,360,36.8,42.6,High Risk
159,416,31.1,77.2,High Risk
514,627,13.9,29.5,CO Poisoning Risk
797,200,30.1,28.9,Asthma Risk
870,57,32.8,66.0,High Risk
650,552,34.5,47.8,CO Poisoning Risk
917,509,23.2,40.4,CO Poisoning Risk
731,264,20.5,55.5,Moderate Risk
606,59,33.1,42.4,High Risk
517,161,31.7,49.2,Moderate Risk
628,375,25.9,66.6,Moderate Risk
249,100,15.8,34.3,Safe
238,395,28.6,79.8,High Risk
865,176,14.6,30.3,High Risk
319,270,15.4,71.6,Moderate Risk
801,352,20.9,67.1,Moderate Risk
651,519,21.9,43.2,CO Poisoning Risk
156,266,24.1,34.4,Moderate Risk
901,217,21.1,74.0,Moderate Risk
470,384,13.8,64.7,Moderate Risk
147,550,16.8,43.7,CO Poisoning Risk
348,201,15.8,28.9,Moderate Risk
431,195,23.3,78.7,Moderate Risk
219,222,18.1,49.8,Moderate Risk
816,577,20.0,37.5,CO Poisoning Risk
261,156,24.3,77.2,Safe
859,182,18.7,47.4,Moderate Risk
703,277,18.9,53.0,Moderate Risk
298,376,33.0,65.7,High Risk
892,586,26.2,72.2,CO Poisoning Risk
443,351,33.6,33.4,High Risk
560,205,25.3,76.5,High Risk
887,446,34.8,78.4,High Risk
205,634,19.1,42.0,CO Poisoning Risk
353,322,27.8,54.9,Moderate Risk
751,364,25.1,74.3,Moderate Risk
901,577,35.0,54.3,CO Poisoning Risk
531,541,23.0,54.0,CO Poisoning Risk
637,407,33.5,61.4,High Risk
542,416,26.5,69.4,Moderate Risk
566,80,30.0,63.9,Moderate Risk
376,347,34.3,61.8,High Risk
392,482,36.9,48.1,CO Poisoning Risk
400,76,30.5,62.0,Moderate Risk
297,230,20.5,33.6,Moderate Risk
707,218,20.2,50.1,Moderate Risk
535,610,20.4,38.2,CO Poisoning Risk
759,294,15.3,57.0,Moderate Risk
722,323,14.3,42.2,Moderate Risk
144,46,26.9,55.3,Safe
101,238,32.5,70.0,Moderate Risk
746,210,13.9,51.4,Moderate Risk
489,154,26.6,39.8,Moderate Risk
737,424,21.9,40.0,Moderate Risk
604,627,34.4,76.9,CO Poisoning Risk
745,329,16.5,70.2,Moderate Risk
631,465,26.5,30.0,CO Poisoning Risk
326,157,36.3,78.9,Safe
368,272,21.3,34.1,Moderate Risk
437,515,30.8,63.3,CO Poisoning Risk
716,572,34.2,57.8,CO Poisoning Risk
193,540,17.5,30.5,CO Poisoning Risk
719,75,36.8,43.9,Asthma Risk
606,206,32.4,69.9,High Risk
337,422,16.3,44.6,Moderate Risk
453,490,20.5,53.9,CO Poisoning Risk
410,471,28.0,65.7,CO Poisoning Risk
722,548,34.2,31.9,CO Poisoning Risk
375,571,17.7,73.0,CO Poisoning Risk
238,576,30.5,30.2,CO Poisoning Risk
173,626,19.5,42.2,CO Poisoning Risk
495,564,32.3,69.2,CO Poisoning Risk
545,78,29.4,77.2,High Risk
832,534,25.5,69.1,CO Poisoning Risk
889,467,28.6,40.3,CO Poisoning Risk
250,512,34.0,81.2,CO Poisoning Risk
873,68,22.3,50.3,Moderate Risk
549,260,31.5,48.3,High Risk
639,99,16.8,74.7,Moderate Risk
589,70,29.8,31.6,High Risk
827,325,31.0,58.0,High Risk
598,371,23.6,80.1,High Risk
743,230,32.0,33.4,Asthma Risk
893,539,26.4,57.2,CO Poisoning Risk
570,56,35.5,35.2,High Risk
752,478,15.7,76.1,CO Poisoning Risk
203,252,16.1,59.7,Moderate Risk
838,177,33.2,40.7,Asthma Risk
667,383,33.2,44.6,Asthma Risk
450,240,24.3,55.9,Moderate Risk
430,306,36.1,67.2,High Risk
859,326,29.3,54.3,Moderate Risk
850,413,36.6,38.2,Asthma Risk
538,147,25.8,66.2,Moderate Risk
269,227,17.8,34.4,Moderate Risk
791,467,23.7,71.7,CO Poisoning Risk
496,53,36.5,49.4,Moderate Risk
755,601,21.9,63.2,CO Poisoning Risk
285,288,36.0,46.6,Moderate Risk
555,611,32.1,64.1,CO Poisoning Risk
400,437,23.6,76.0,High Risk
351,571,26.0,65.9,CO Poisoning Risk
508,81,27.6,64.3,Moderate Risk
495,222,29.0,68.9,Moderate Risk
232,116,14.8,55.0,Safe
431,396,35.4,39.9,High Risk
405,193,27.3,72.0,Moderate Risk
190,149,35.3,63.0,Safe
333,265,28.2,44.9,Moderate Risk
579,418,23.3,42.9,Moderate Risk
101,562,26.6,55.0,CO Poisoning Risk
328,304,32.9,39.2,High Risk
650,343,20.8,75.4,High Risk
131,86,36.0,70.6,Safe
767,536,24.2,44.6,CO Poisoning Risk
683,483,35.9,30.7,CO Poisoning Risk
518,91,34.1,30.8,Moderate Risk
892,129,31.4,44.0,Asthma Risk
247,102,24.2,36.0,Safe
305,253,27.1,75.2,Moderate Risk
759,292,33.1,50.7,High Risk
551,255,26.1,46.8,Moderate Risk
223,83,30.7,39.8,Safe
156,296,32.0,73.4,Moderate Risk
96,457,25.3,70.8,CO Poisoning Risk
615,490,25.9,48.8,CO Poisoning Risk
162,96,17.7,37.1,Safe
488,418,18.9,79.4,High Risk
494,570,34.7,45.1,CO Poisoning Risk
764,200,33.2,69.6,High Risk
667,586,13.2,53.0,CO Poisoning Risk
219,134,33.9,70.2,Safe
555,395,13.6,54.0,Moderate Risk
295,113,24.0,78.0,Safe
877,207,14.6,71.2,Moderate Risk
857,286,36.3,42.1,Asthma Risk
355,539,36.3,51.2,CO Poisoning Risk
626,427,27.7,33.4,High Risk
882,96,22.4,76.8,High Risk
342,107,25.3,31.7,Moderate Risk
911,553,31.3,29.0,CO Poisoning Risk
378,336,18.4,54.8,Moderate Risk
253,135,23.6,60.6,Safe
184,468,30.7,40.1,CO Poisoning Risk
871,409,22.5,58.8,Moderate Risk
199,194,13.8,76.4,Moderate Risk
425,315,25.2,61.8,Moderate Risk
911,625,30.7,52.6,CO Poisoning Risk
327,160,36.4,35.8,Safe
470,560,13.9,37.1,CO Poisoning Risk
525,631,26.0,54.2,CO Poisoning Risk
572,285,23.8,53.0,Moderate Risk
114,74,18.8,56.2,Safe
742,187,28.3,55.4,Moderate Risk
206,370,16.9,46.4,Moderate Risk
571,60,19.8,65.6,Moderate Risk
481,155,31.8,39.5,Moderate Risk
626,151,24.0,74.0,Moderate Risk
168,423,36.8,38.5,High Risk
669,206,22.3,50.5,Moderate Risk
262,327,24.1,39.4,Moderate Risk
101,313,20.2,61.4,Moderate Risk
889,528,18.7,53.8,CO Poisoning Risk
217,117,35.1,48.2,Safe
697,241,31.0,53.7,Moderate Risk
181,287,21.0,50.7,Moderate Risk
742,642,29.8,74.2,CO Poisoning Risk
632,303,36.2,34.7,Asthma Risk
621,193,14.8,70.8,Moderate Risk
747,434,19.3,63.4,Moderate Risk
917,460,17.8,46.8,CO Poisoning Risk
536,470,33.9,77.6,CO Poisoning Risk
479,261,17.3,37.6,Moderate Risk
761,130,20.4,44.8,Moderate Risk
132,260,26.1,48.2,Moderate Risk
343,467,27.9,63.0,CO Poisoning Risk
219,364,32.4,79.1,High Risk
149,162,22.8,60.0,Safe
752,459,25.8,74.2,CO Poisoning Risk
556,643,36.2,76.9,CO Poisoning Risk
376,84,20.1,53.2,Moderate Risk
606,205,19.0,53.5,Moderate Risk
556,581,30.1,41.5,CO Poisoning Risk
867,464,31.5,60.5,CO Poisoning Risk
434,139,23.0,34.5,Moderate Risk
731,486,18.1,62.3,CO Poisoning Risk
471,602,31.7,76.2,CO Poisoning Risk
868,510,29.1,69.1,CO Poisoning Risk
779,332,34.0,63.1,High Risk
342,456,33.3,73.3,CO Poisoning Risk
145,444,17.9,67.4,Moderate Risk
552,572,33.0,56.6,CO Poisoning Risk
546,62,17.2,56.1,Moderate Risk
172,180,33.7,33.8,Safe
188,508,31.5,51.5,CO Poisoning Risk
238,292,26.7,56.2,Moderate Risk
418,45,28.4,53.4,Moderate Risk
245,425,15.5,69.9,Moderate Risk
279,553,14.0,36.7,CO Poisoning Risk
583,504,20.9,70.9,CO Poisoning Risk
352,549,32.7,68.0,CO Poisoning Risk
169,520,24.2,76.6,CO Poisoning Risk
489,601,18.4,48.2,CO Poisoning Risk
853,76,33.0,37.5,Asthma Risk
698,162,18.5,69.0,Moderate Risk
349,228,32.6,59.8,Moderate Risk
861,235,23.9,66.5,Moderate Risk
704,118,24.1,81.8,High Risk
641,147,19.5,38.5,Moderate Risk
874,630,34.6,50.2,CO Poisoning Risk
190,464,15.1,38.4,CO Poisoning Risk
448,517,16.5,74.5,CO Poisoning Risk
469,158,28.3,28.9,Moderate Risk
909,423,33.4,35.3,Asthma Risk
310,357,15.3,41.4,Moderate Risk
909,374,30.6,69.7,Moderate Risk
509,383,30.8,61.9,Moderate Risk
213,282,27.0,49.0,Moderate Risk
511,217,24.7,36.6,Moderate Risk
320,123,20.7,45.4,Safe
779,508,21.4,68.1,CO Poisoning Risk
152,649,29.2,48.6,CO Poisoning Risk
574,545,14.6,53.0,CO Poisoning Risk
717,606,27.0,60.9,CO Poisoning Risk
792,329,19.7,77.3,High Risk
663,267,24.2,41.5,Moderate Risk
857,637,26.4,52.2,CO Poisoning Risk
572,310,34.3,44.8,High Risk
608,417,26.9,53.2,Moderate Risk
244,277,18.5,65.6,Moderate Risk
181,280,14.9,54.0,Moderate Risk
615,358,28.0,73.1,Moderate Risk
544,424,26.1,57.9,Moderate Risk
830,607,29.1,48.8,CO Poisoning Risk
687,464,24.0,70.2,CO Poisoning Risk
734,96,32.8,51.3,High Risk
599,553,35.1,55.8,CO Poisoning Risk
272,249,14.0,81.7,Moderate Risk
475,301,30.9,70.5,Moderate Risk
663,229,13.8,74.2,Moderate Risk
820,189,23.7,60.0,Moderate Risk
494,58,24.1,46.8,Moderate Risk
335,290,29.7,81.5,Moderate Risk
831,231,21.5,41.2,Moderate Risk
680,381,32.7,75.1,High Risk
750,303,21.2,77.2,High Risk
739,84,21.2,72.1,Moderate Risk
560,645,18.3,34.2,CO Poisoning Risk
915,462,29.4,74.1,CO Poisoning Risk
512,395,14.8,63.8,Moderate Risk
154,53,21.7,64.8,Safe
102,394,19.4,70.5,Moderate Risk
302,128,18.5,54.5,Safe
331,577,14.5,42.4,CO Poisoning Risk
582,402,17.6,59.0,Moderate Risk
302,422,23.7,33.9,High Risk
782,216,25.1,64.4,Moderate Risk
427,69,19.5,54.1,Moderate Risk
262,437,28.6,55.1,Moderate Risk
761,147,21.1,38.0,Moderate Risk
253,280,21.8,30.2,Moderate Risk
554,454,31.8,61.0,CO Poisoning Risk
586,593,26.2,63.6,CO Poisoning Risk
789,376,35.9,54.9,High Risk
484,576,21.6,69.3,CO Poisoning Risk
792,73,32.9,58.4,High Risk
397,587,30.7,73.8,CO Poisoning Risk
857,63,34.4,43.6,Asthma Risk
272,192,36.0,41.1,Moderate Risk
718,515,13.2,42.1,CO Poisoning Risk
883,535,15.1,29.6,CO Poisoning Risk
599,327,29.2,76.6,High Risk
797,157,22.4,82.0,High Risk
635,499,32.7,72.1,CO Poisoning Risk
653,374,13.3,50.3,Moderate Risk
713,299,32.4,47.1,High Risk
853,643,16.2,69.8,CO Poisoning Risk
683,443,20.0,55.5,Moderate Risk
833,552,36.3,78.7,CO Poisoning Risk
316,510,14.2,43.1,CO Poisoning Risk
834,451,21.4,45.5,CO Poisoning Risk
822,142,15.0,81.9,High Risk
525,334,33.5,80.8,High Risk
511,200,29.9,75.8,Moderate Risk
643,206,32.2,49.8,High Risk
110,141,25.7,73.2,Safe
643,421,21.6,43.3,Moderate Risk
486,611,13.1,41.8,CO Poisoning Risk
714,494,19.7,57.5,CO Poisoning Risk
194,161,25.3,74.5,Safe
281,649,28.9,33.3,CO Poisoning Risk
106,550,18.5,58.5,CO Poisoning Risk
209,233,16.3,60.9,Moderate Risk
482,520,17.8,59.3,CO Poisoning Risk
514,367,21.5,39.8,Moderate Risk
218,640,16.6,31.5,CO Poisoning Risk
219,224,16.8,76.3,Moderate Risk
661,225,14.1,59.0,Moderate Risk
649,331,33.6,69.5,High Risk
118,519,18.3,47.7,CO Poisoning Risk
186,306,32.7,30.3,High Risk
99,567,23.5,42.0,CO Poisoning Risk
331,206,28.2,32.0,Moderate Risk
915,531,14.8,32.2,CO Poisoning Risk
321,225,27.0,39.6,Moderate Risk
878,513,20.0,62.2,CO Poisoning Risk
373,65,15.3,72.2,Moderate Risk
804,319,34.8,72.4,High Risk
848,304,27.5,78.6,High Risk
891,377,18.8,63.4,Moderate Risk
865,510,23.1,29.1,CO Poisoning Risk
815,160,21.6,48.4,Moderate Risk
289,457,29.8,34.0,CO Poisoning Risk
168,581,27.6,70.0,CO Poisoning Risk
262,301,13.5,34.5,High Risk
556,212,17.7,33.7,High Risk
670,577,24.5,29.5,CO Poisoning Risk
505,642,23.7,79.6,CO Poisoning Risk
538,59,25.4,70.4,Moderate Risk
176,94,30.2,46.0,Safe
190,348,29.4,48.3,Moderate Risk
97,531,21.9,31.2,CO Poisoning Risk
289,460,34.1,36.5,CO Poisoning Risk
594,349,14.5,44.8,Moderate Risk
176,240,27.0,48.9,Moderate Risk
132,432,35.8,61.5,High Risk
474,499,26.2,46.9,CO Poisoning Risk
710,354,23.9,79.5,High Risk
524,171,16.2,46.5,Moderate Risk
497,219,32.4,78.8,Moderate Risk
572,178,22.0,67.4,Moderate Risk
753,110,29.8,76.6,High Risk
106,437,17.7,66.0,Moderate Risk
734,409,14.0,58.7,Moderate Risk
237,323,20.3,55.5,Moderate Risk
366,407,19.8,43.7,Moderate Risk
321,215,34.0,44.1,Moderate Risk
915,95,33.8,40.1,Asthma Risk
455,372,25.8,48.8,Moderate Risk
317,636,13.5,34.9,CO Poisoning Risk
740,189,18.5,48.9,Moderate Risk
525,318,28.3,73.0,Moderate Risk
488,199,15.4,75.0,Moderate Risk
300,552,29.8,62.7,CO Poisoning Risk
480,407,13.3,41.9,Moderate Risk
588,369,29.4,41.0,Moderate Risk
629,342,33.3,43.0,Asthma Risk
652,538,24.3,55.0,CO Poisoning Risk
580,590,32.9,80.7,CO Poisoning Risk
531,348,31.8,33.9,High Risk
350,511,29.1,55.0,CO Poisoning Risk
862,283,23.7,64.8,Moderate Risk
439,561,19.5,41.3,CO Poisoning Risk
441,220,33.7,80.3,Moderate Risk
609,454,28.6,46.8,CO Poisoning Risk
409,408,32.2,78.3,High Risk
227,67,26.2,60.3,Safe
639,362,17.1,28.2,High Risk
712,569,36.5,44.8,CO Poisoning Risk
457,320,17.4,29.2,High Risk
309,648,34.9,48.6,CO Poisoning Risk
426,273,18.0,78.4,Moderate Risk
312,152,22.0,70.1,Safe
737,220,23.6,61.5,Moderate Risk
857,364,35.1,57.1,High Risk
449,330,34.3,48.1,High Risk
418,373,32.8,39.4,High Risk
552,400,22.0,31.4,High Risk
650,58,13.1,38.3,Moderate Risk
893,319,29.4,47.0,Moderate Risk
471,115,22.9,56.1,Moderate Risk
679,239,31.2,39.0,Asthma Risk
706,567,32.1,80.6,CO Poisoning Risk
258,150,23.6,32.1,Safe
306,240,31.0,33.1,Moderate Risk
467,189,33.2,64.9,Moderate Risk
208,394,35.3,68.8,High Risk
279,468,27.0,80.5,CO Poisoning Risk
856,515,31.7,56.6,CO Poisoning Risk
459,260,24.9,37.0,Moderate Risk
867,137,14.0,78.6,High Risk
238,304,16.7,80.9,High Risk
765,619,16.1,77.9,CO Poisoning Risk
741,585,17.1,75.1,CO Poisoning Risk
577,329,13.2,32.2,High Risk
859,528,33.6,74.2,CO Poisoning Risk
463,416,26.4,79.5,High Risk
870,114,22.2,57.8,Moderate Risk
782,423,22.8,69.7,Moderate Risk
249,323,24.1,63.7,Moderate Risk
440,346,14.8,43.6,Moderate Risk
377,299,19.6,59.7,Moderate Risk
377,308,33.4,76.0,High Risk
315,468,30.8,54.8,CO Poisoning Risk
612,257,26.5,59.9,Moderate Risk
611,144,24.5,56.7,Moderate Risk
872,156,19.2,43.2,Moderate Risk
362,352,24.3,62.8,Moderate Risk
491,519,27.3,55.5,CO Poisoning Risk
272,592,30.1,40.6,CO Poisoning Risk
754,156,17.0,76.4,High Risk
577,131,32.5,79.3,High Risk
916,227,21.3,31.0,High Risk
213,641,25.1,61.6,CO Poisoning Risk
715,209,27.6,50.4,Moderate Risk
879,134,24.7,56.4,Moderate Risk
503,499,26.7,48.2,CO Poisoning Risk
814,282,15.7,53.6,Moderate Risk
261,578,23.4,45.5,CO Poisoning Risk
377,102,19.7,34.4,Moderate Risk
524,586,15.1,44.3,CO Poisoning Risk
775,446,17.6,64.2,Moderate Risk
202,563,27.5,30.7,CO Poisoning Risk
211,241,17.7,48.7,Moderate Risk
633,90,17.3,30.3,High Risk
311,574,26.3,47.2,CO Poisoning Risk
720,441,34.7,32.7,Asthma Risk
128,118,31.9,46.3,Safe
586,460,34.7,73.3,CO Poisoning Risk
869,379,27.0,61.1,Moderate Risk
322,619,22.8,64.8,CO Poisoning Risk
619,340,30.5,55.2,Moderate Risk
238,128,19.3,77.8,Safe
486,59,14.9,57.2,Moderate Risk
750,178,21.3,33.6,High Risk
727,522,20.2,78.4,CO Poisoning Risk
391,363,29.2,35.2,Moderate Risk
449,436,26.2,82.0,High Risk
327,523,16.3,51.5,CO Poisoning Risk
736,412,34.8,32.0,Asthma Risk
752,411,27.2,74.7,Moderate Risk
325,332,24.0,33.0,High Risk
825,422,35.5,37.4,Asthma Risk
292,507,15.3,50.5,CO Poisoning Risk
345,638,32.0,64.5,CO Poisoning Risk
687,57,21.8,34.5,High Risk
751,580,29.7,61.6,CO Poisoning Risk
324,212,35.3,70.1,Moderate Risk
434,314,25.4,34.7,High Risk
623,114,13.5,63.0,Moderate Risk
886,362,13.7,79.8,High Risk
870,420,20.9,80.2,High Risk
555,133,31.8,36.7,High Risk
859,301,19.9,69.0,Moderate Risk
630,261,21.0,73.7,Moderate Risk
302,494,31.8,76.0,CO Poisoning Risk
552,588,15.8,45.5,CO Poisoning Risk
525,185,33.3,42.6,High Risk
372,205,19.4,30.6,Moderate Risk
651,76,14.2,49.6,Moderate Risk
696,196,15.8,34.7,High Risk
552,304,35.9,70.5,High Risk
496,323,23.8,35.7,Moderate Risk
177,329,19.2,72.2,Moderate Risk
133,586,25.5,33.8,CO Poisoning Risk
550,646,29.4,54.0,CO Poisoning Risk
367,192,20.7,48.8,Moderate Risk
772,111,30.4,60.5,Moderate Risk
510,614,19.1,56.0,CO Poisoning Risk
790,323,15.7,60.3,Moderate Risk
442,487,26.2,28.1,CO Poisoning Risk
785,443,16.6,34.9,High Risk
604,172,35.6,55.9,High Risk
792,381,13.0,40.4,Moderate Risk
719,526,31.1,32.1,CO Poisoning Risk
108,230,19.7,39.8,Moderate Risk
112,213,33.3,70.1,Moderate Risk
502,304,14.4,57.3,Moderate Risk
119,602,35.9,38.3,CO Poisoning Risk
896,551,15.4,28.9,CO Poisoning Risk
